"Country Name","Country Code",Time Period,"Aluminum (PALUM_USD)","Copper  (PCOPP_USD)","Iron Ore (PIORECR_USD)","Lead  (PLEAD_USD)","Metal index  (PMETA_Index)","Nickel  (PNICK_USD)","Tin  (PTIN_USD)","Uranium  (PURAN_USD)","Zinc  (PZINC_USD)",
"World","001",1992M5,"1306.71069335938","2219.31505581207","14.31","520.75","62.0948258514948","7333.947265625","6113.15801934814","7.55","1377.73681640625",
"World","001",1992M6,"1275.27270507813","2296.44193858643","14.31","551.019287109375","62.1994651497547","7202.36328125","6631.99994276123","7.75","1385.4091796875",
"World","001",1992M7,"1314.34790039063","2527.28502240143","14.31","633.2509765625","64.8143231900986","7516.173828125","6980.49985119018","7.75","1320.4091796875",
"World","001",1992M8,"1305.55004882813","2513.46998458252","14.31","655.278076171875","64.6203619081302","7279.75","6784.21076134033","8.05","1363.40014648438",
"World","001",1992M9,"1270.21435546875","2419.61418178101","14.31","624.83984375","63.0498104227068","6918.572265625","6643.33320200806","8.75","1367.119140625",
"World","001",1992M10,"1180.84106445313","2262.45696237183","14.31","540.45263671875","58.8387922851814","6322.5","6025.90907946167","10.25","1158.36376953125",
"World","001",1992M11,"1162.21435546875","2161.78909368286","14.31","462.054107666016","56.609447947545","5593.71484375","5735.71439985962","10.5","1052.23803710938",
"World","001",1992M12,"1209.02380371094","2211.95028749237","14.31","456.697265625","57.9306117223866","5751.1904296875","5765.80926595459","10","1061.47619628906",
"World","001",1993M1,"1208.09997558594","2264.21397077332","12.58","436.901947021484","57.6419617364056","5948.10009765625","5913.09992277222","9.8","1067.57495117188",
"World","001",1993M2,"1203.15002441406","2212.18139313507","12.58","415.000946044922","57.2445329684282","6050.75","5792.75006144409","10.1","1073.625",
"World","001",1993M3,"1150.47827148438","2152.38020099945","12.58","405.427062988281","55.3916926480841","5974.9130859375","5666.30466264038","10.2","996.760864257813",
"World","001",1993M4,"1110.27502441406","1953.62060192108","12.58","422.113708496094","53.2713886681011","5987.5","5596.49999379883","10.35","1006",
"World","001",1993M5,"1125.42102050781","1799.35169844818","12.58","407.657562255859","52.0907437206014","5777.78955078125","5505.47363722839","10.1","979.26318359375",
"World","001",1993M6,"1168.09094238281","1857.87070840454","12.58","397.061309814453","52.8851909607569","5544.318359375","5115.45443951416","10.3","928.227294921875",
"World","001",1993M7,"1203.18176269531","1927.33981992645","12.58","389.636352539063","53.6172954496014","5051.181640625","4978.54537110901","9.9","930.068176269531",
"World","001",1993M8,"1172.76196289063","1951.07137548676","12.58","389.880950927734","52.800166608016","4740.47607421875","4819.00006005859","10.05","886.833312988281",
"World","001",1993M9,"1116.90905761719","1858.24999750519","12.58","376.340911865234","50.6878177805333","4376.04541015625","4510.68192121277","10.2","875.727294921875",
"World","001",1993M10,"1089.42858886719","1646.99992897491","12.58","386.071441650391","48.9232092206821","4464.85693359375","4687.23822227783","10.175","918.571411132813",
"World","001",1993M11,"1040.02270507813","1632.56810484467","12.58","401.636352539063","48.0183168793908","4642.27294921875","4643.81828251038","9.9","929.386352539063",
"World","001",1993M12,"1091.34997558594","1723.6250736618","12.58","460.375","50.349740800131","5139.7998046875","4781.69987844543","9.85","975.534973144531",
"World","001",1994M1,"1170","1807.07136699066","11.45","491.404754638672","52.401975566019","5584.0478515625","4950.71412927856","9.45","998.59521484375",
"World","001",1994M2,"1270.52502441406","1865.07501472778","11.45","484.450012207031","54.8855960582299","5830.10009765625","5442.45008562927","9.45","969.75",
"World","001",1994M3,"1287.69567871094","1913.17391866455","11.45","451.086944580078","55.1577221521659","5590.4345703125","5405.52162415466","9.3","937.608703613281",
"World","001",1994M4,"1277.28942871094","1881.36846713562","11.45","440.421051025391","54.5033369872364","5400.26318359375","5383.05257147217","9.25","924.342102050781",
"World","001",1994M5,"1321.04760742188","2144.50007046051","11.45","475.857147216797","57.9624102037809","6082.85693359375","5493.47632770691","9.25","956.714294433594",
"World","001",1994M6,"1402.36364746094","2363.09102303009","11.45","524.477294921875","61.3943122978332","6287.04541015625","5497.63622927551","9.25","966",
"World","001",1994M7,"1491.95239257813","2447.23803404999","11.45","579.047607421875","63.7197451706145","6230.5712890625","5300.95254420166","9.1","962.642883300781",
