commodity,msha_name,series,year,quarter,units,price
silver,Silver Ore,SILVERH,2015,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2015,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,2015,3,$cents/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1983,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1983,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1983,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1983,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1984,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1984,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1984,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1984,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1985,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1985,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1985,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1985,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1986,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1986,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1986,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1986,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1987,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1987,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1987,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1987,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1988,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1988,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1988,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1988,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1989,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1989,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1989,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1989,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1990,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1990,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1990,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1990,4,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1991,1,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1991,2,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1991,3,$/troy_ounce,
platinum,Platinum Group Ore,PLATFRE,1991,4,$/troy_ounce,
