commodity,msha_name,series,year,quarter,units,price_last
alumina,Alumina,MBALAL01,2002,2,$/lb,
alumina,Alumina,MBALAL01,2002,3,$/lb,
alumina,Alumina,MBALAL01,2002,4,$/lb,
alumina,Alumina,MBALAL01,2003,1,$/lb,
alumina,Alumina,MBALAL01,2003,2,$/lb,
alumina,Alumina,MBALAL01,2003,3,$/lb,
alumina,Alumina,MBALAL01,2003,4,$/lb,
alumina,Alumina,MBALAL01,2004,1,$/lb,
alumina,Alumina,MBALAL01,2004,2,$/lb,
alumina,Alumina,MBALAL01,2004,3,$/lb,
alumina,Alumina,MBALAL01,2004,4,$/lb,
alumina,Alumina,MBALAL01,2005,1,$/lb,
alumina,Alumina,MBALAL01,2005,2,$/lb,
alumina,Alumina,MBALAL01,2005,3,$/lb,
alumina,Alumina,MBALAL01,2005,4,$/lb,
alumina,Alumina,MBALAL01,2006,1,$/lb,
alumina,Alumina,MBALAL01,2006,2,$/lb,
alumina,Alumina,MBALAL01,2006,3,$/lb,
alumina,Alumina,MBALAL01,2006,4,$/lb,
alumina,Alumina,MBALAL01,2007,1,$/lb,
alumina,Alumina,MBALAL01,2007,2,$/lb,
alumina,Alumina,MBALAL01,2007,3,$/lb,
alumina,Alumina,MBALAL01,2007,4,$/lb,
alumina,Alumina,MBALAL01,2008,1,$/lb,
alumina,Alumina,MBALAL01,2008,2,$/lb,
alumina,Alumina,MBALAL01,2008,3,$/lb,
alumina,Alumina,MBALAL01,2008,4,$/lb,
alumina,Alumina,MBALAL01,2009,1,$/lb,
alumina,Alumina,MBALAL01,2009,2,$/lb,
alumina,Alumina,MBALAL01,2009,3,$/lb,
alumina,Alumina,MBALAL01,2009,4,$/lb,
alumina,Alumina,MBALAL01,2010,1,$/lb,
alumina,Alumina,MBALAL01,2010,2,$/lb,
alumina,Alumina,MBALAL01,2010,3,$/lb,
alumina,Alumina,MBALAL01,2010,4,$/lb,
alumina,Alumina,MBALAL01,2011,1,$/lb,
alumina,Alumina,MBALAL01,2011,2,$/lb,
alumina,Alumina,MBALAL01,2011,3,$/lb,
alumina,Alumina,MBALAL01,2011,4,$/lb,
alumina,Alumina,MBALAL01,2012,1,$/lb,
alumina,Alumina,MBALAL01,2012,2,$/lb,
alumina,Alumina,MBALAL01,2012,3,$/lb,
alumina,Alumina,MBALAL01,2012,4,$/lb,
alumina,Alumina,MBALAL01,2013,1,$/lb,
alumina,Alumina,MBALAL01,2013,2,$/lb,
alumina,Alumina,MBALAL01,2013,3,$/lb,
alumina,Alumina,MBALAL01,2013,4,$/lb,
alumina,Alumina,MBALAL01,2014,1,$/lb,
alumina,Alumina,MBALAL01,2014,2,$/lb,
alumina,Alumina,MBALAL01,2014,3,$/lb,
alumina,Alumina,MBALAL01,2014,4,$/lb,
alumina,Alumina,MBALAL01,2015,1,$/lb,
alumina,Alumina,MBALAL01,2015,2,$/lb,
copper,Copper Ore NEC,MBCUUSFM,1997,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1997,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1998,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1998,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1998,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1998,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1999,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1999,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1999,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,1999,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2000,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2000,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2000,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2000,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2001,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2001,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2001,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2001,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2002,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2002,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2002,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2002,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2003,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2003,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2003,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2003,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2004,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2004,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2004,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2004,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2005,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2005,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2005,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2005,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2006,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2006,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2006,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2006,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2007,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2007,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2007,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2007,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2008,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2008,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2008,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2008,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2009,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2009,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2009,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2009,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2010,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2010,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2010,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2010,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2011,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2011,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2011,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2011,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2012,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2012,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2012,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2012,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2013,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2013,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2013,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2013,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2014,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2014,2,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2014,3,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2014,4,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2015,1,$/tonne,
copper,Copper Ore NEC,MBCUUSFM,2015,2,$/tonne,
lead,,MBPBUSFP,1997,1,$/lb,
lead,,MBPBUSFP,1997,2,$/lb,
lead,,MBPBUSFP,1997,3,$/lb,
lead,,MBPBUSFP,1997,4,$/lb,
lead,,MBPBUSFP,1998,1,$/lb,
lead,,MBPBUSFP,1998,2,$/lb,
lead,,MBPBUSFP,1998,3,$/lb,
lead,,MBPBUSFP,1998,4,$/lb,
lead,,MBPBUSFP,1999,1,$/lb,
lead,,MBPBUSFP,1999,2,$/lb,
lead,,MBPBUSFP,1999,3,$/lb,
lead,,MBPBUSFP,1999,4,$/lb,
lead,,MBPBUSFP,2000,1,$/lb,
lead,,MBPBUSFP,2000,2,$/lb,
lead,,MBPBUSFP,2000,3,$/lb,
lead,,MBPBUSFP,2000,4,$/lb,
lead,,MBPBUSFP,2001,1,$/lb,
lead,,MBPBUSFP,2001,2,$/lb,
lead,,MBPBUSFP,2001,3,$/lb,
lead,,MBPBUSFP,2001,4,$/lb,
lead,,MBPBUSFP,2002,1,$/lb,
lead,,MBPBUSFP,2002,2,$/lb,
lead,,MBPBUSFP,2002,3,$/lb,
lead,,MBPBUSFP,2002,4,$/lb,
lead,,MBPBUSFP,2003,1,$/lb,
lead,,MBPBUSFP,2003,2,$/lb,
lead,,MBPBUSFP,2003,3,$/lb,
lead,,MBPBUSFP,2003,4,$/lb,
lead,,MBPBUSFP,2004,1,$/lb,
lead,,MBPBUSFP,2004,2,$/lb,
lead,,MBPBUSFP,2004,3,$/lb,
